"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g6",207.360818803885,-2.02190078716796,0.569352906017963,-3.5512259018911,0.00038344115184351,0.00232512187820001
"g13",81.3777117817341,-4.30511907931481,0.963115661448093,-4.46999176904864,7.82226074432379e-06,0.00010615925295868
"g22",938.866418985355,-2.12068834190241,0.250818191864439,-8.45508185087543,2.78891645617936e-17,3.97420595005558e-15
"g32",2428.76029512713,-1.63145529954134,0.662704355402708,-2.46181466326707,0.0138236079349386,0.0390072105094802
"g39",575.236925024436,-2.86397516283346,0.412430238795894,-6.94414447203228,3.80760689520983e-12,1.80861327522467e-10
"g46",3006.99575434249,-1.94425529542626,0.461121399893286,-4.21636318738668,2.48273794996016e-05,0.000272146275284094
"g50",683.786649737667,-2.17371868233747,0.714234896032469,-3.04342268126683,0.00233903539727836,0.00888833450965779
"g51",1141.74591517112,-2.31712801889195,0.485669936824909,-4.77099330883088,1.83319630935069e-06,3.26538092603092e-05
"g53",1440.73216902759,-1.80995596132771,0.523876973483274,-3.45492558929104,0.00055044471596761,0.00307601458923076
"g67",316.547893026142,-2.35550005538925,0.537565739973366,-4.38178976120382,1.17708364757041e-05,0.000145856017198942
"g68",244.799864659624,-1.76676900380025,0.51005282338365,-3.46389417488103,0.000532415919225526,0.0030347707395855
"g74",3696.88073157082,-2.7219216430885,0.895610481175791,-3.0391802019948,0.00237222911775881,0.00889585919159554
"g77",3064.05562968014,-2.32053140524678,0.824841540599072,-2.81330569694806,0.00490350104613922,0.0164411505664668
"g78",752.459842170994,-1.43922346934139,0.332852156781484,-4.32391210337337,1.53286389470079e-05,0.00017474648399589
"g86",760.589070266999,-1.27129002160264,0.497415541231155,-2.55579071465292,0.0105946819330451,0.0321893116979548
"g92",269.961290406355,-1.14223438977849,0.413645723057388,-2.76138329519248,0.00575570830571704,0.018640646217379
"g101",6406.1481511036,-2.58366093537954,0.759001386235928,-3.40402663583072,0.00066400278168222,0.00350445912554505
"g113",8245.87563920636,-1.95494128403287,0.366249009346088,-5.33773808022929,9.41132796549086e-08,1.78815231344326e-06
