Control_1	Control_2	Control_3	Heat_treated_1	Heat_treated_2	Heat_treated_3
g1	11.692447831017	9.05916853629858	9.7890229044056	10.5270541447319	10.2540464391286	10.3860345921037
g2	8.48858898835007	8.8924789362359	8.84498360184198	8.98663371469214	8.79646906266248	9.10151773310072
g3	13.5182049943477	12.9592644805891	13.1899836993708	13.2481588293772	13.7439763968431	12.943877074336
g4	5.61680894979819	6.19438587421896	6.42493347810185	5.8118616249903	5.33284597274931	6.68462935849978
g5	10.6273028918652	10.0196284958316	10.0078077675022	10.0366800499482	10.2410694644739	10.58172222822
g6	8.10002105882959	8.50880244727101	7.17679429547059	6.90400868190692	6.45486484091068	6.6931518688121
g7	8.38502916691938	7.56124522477257	7.95425334560937	8.42138518132664	8.394994469746	8.10855781862212
g8	11.2314640094639	12.038676120065	12.1887279334815	11.4571214456107	10.765343475724	11.8147734939867
g9	5.83580262967385	5.03046792528803	4.6870463274816	5.73130444298506	6.1308193094312	5.36269920151495
g10	8.69873258406364	7.29327059645204	7.50941953658026	6.85250504555655	6.81435742121145	7.45516122333468
g11	5.3279901486388	5.13817001054935	5.139842730816	6.4972046346272	4.94628175536749	5.98523066749412
g12	3.66022492113566	4.21324955156641	3.39468153990405	4.32833634487705	2.97183388364725	4.14941060447085
g13	5.28031788109873	7.49083085598004	5.5031534448361	3.6811338939751	4.27100221496289	4.10183476645473
g14	5.02198496091794	5.79664748012679	5.42479764544917	6.45281431680172	5.90752890959359	6.07385711462204
g15	10.4966086242958	10.3705441595975	10.5177100158612	10.0385690543187	9.72469108283474	10.0796636387314
g16	10.1099034954397	10.2893474712407	10.1334933292343	10.2882583542123	10.4807668746707	10.8402559808839
g17	9.31331227718262	9.20120818154321	8.91423074354856	9.94351977852594	10.2436085529014	9.5748047990271
g18	10.0634834832033	9.6918030420151	9.426793673432	8.99185816900539	8.55233578759279	9.69237248082124
g19	8.12942608016956	8.19171288107407	8.03001958479168	7.88569086086651	7.17086698976963	8.07622006267227
g20	9.64483816954361	10.1262460028305	10.6561483555747	10.7897414293471	10.6711993377649	10.2212757505061
g21	9.81098472931063	9.95620233321486	9.97719778470104	10.6932156004936	10.8783826240705	10.423952626358
g22	10.2596903953119	10.3188902725332	10.299159517298	8.68946851485426	8.86115452157283	8.8711184691918
g23	11.54821962633	11.5697061201077	11.5055060387584	11.2772922023751	10.4982352863289	11.2027799336826
g24	9.32421547103651	9.15174716797016	8.90692590604723	9.98760474208914	9.64971209276808	9.59565660619273
g25	11.6800451552072	11.3898471358152	11.3920235180966	12.2040132491595	12.3226611763999	12.2501665245321
g26	13.4594243828852	13.3279006951587	13.5990735534626	14.2460013019744	14.6186328570107	13.8125536310872
g27	6.90040551606992	6.73238361116703	6.46056143985194	6.49597512948799	5.87459230815137	5.86548700310621
g28	8.96266295032426	8.96810884298347	8.57752711590247	8.50003058806697	8.5054657878178	8.77739286555676
g29	12.08554140411	10.558720455664	10.7766069353697	11.5605687165957	11.7992681464914	11.6828237884728
g30	8.95827830236119	7.43160557154723	7.60629811094068	9.38975696398301	10.145015383651	9.25483635289654
g31	12.8828096365811	10.5470847388598	10.4867396911151	12.1567647457362	13.2744005791465	11.9699294127559
g32	11.4993344996794	11.7453219652451	11.4765206717543	9.28111473925746	11.0717341973785	10.1999703695471
g33	8.41373614520432	8.84598726766025	8.66806411355929	8.23503078473495	8.00856350854953	8.52366677185037
g34	9.79182415834035	10.8912641402211	10.9078271161603	10.2752664630377	10.2445939329341	10.2796440878144
g35	10.1198210796334	10.3796739873073	10.3038711411782	10.0035919699098	10.0932190938362	10.1872333934555
g36	10.3702217384709	8.59066512250777	8.28256689949509	9.98711116946475	9.85795578522079	9.5946817245243
g37	10.126686826886	10.1248393117165	10.1747677767711	10.560006537326	10.8700706673418	10.3049688193274
g38	7.6702513941162	7.56398354430017	7.66154714879206	6.77490992615609	5.87271544364192	7.40194609971712
g39	9.42070511730908	9.29842483981927	9.96466369517963	7.58700091396966	7.40894233856693	7.82719867689862
g40	9.13026336453378	10.0021845108988	10.0403026994554	9.70046703887436	10.0019838025653	9.54274698214317
g41	12.2740049641334	11.0755894056617	11.5346180223671	12.6278868548471	13.4782063432389	11.6955895901587
g42	7.0084149155123	8.10860392809454	8.19559826644857	8.3223127854163	8.33339125599452	7.48351750795005
g43	10.242146784178	10.2840544044522	10.3355036570011	9.64880166467489	10.2476176441143	10.28696372259
g44	10.1709890153282	11.1906905675502	11.6579722317166	11.0491299139745	10.4561393495165	10.645477332763
g45	8.14408802823836	8.14135120627831	8.25550874184197	8.51725884135046	8.34336978391389	8.32377952067826
g46	11.2092961621979	12.1010197841016	12.2772674779373	10.6353110249841	10.4240693361206	10.632049279101
g47	13.9518180864765	12.2375438462149	12.7567860659299	11.772901972934	12.4302203745137	12.4616190863847
g48	9.82386263938611	9.64615387438482	9.91155273340203	10.3218232355507	9.88128965075652	10.2401201938548
g49	9.62048209261229	8.96259243799452	9.15781481903741	9.07788678482062	9.08881037699048	9.12852488106789
g50	8.10608555524722	10.346292482262	9.90715017519654	8.19433772883064	8.36237066718229	8.16461734284596
g51	9.82201356202876	10.8561496654895	10.7760271617582	8.78750721624592	8.8015037689652	9.18391001238647
g52	8.82164592227683	8.437520641421	8.2761115774804	9.08475826868632	8.8600923933642	8.64416278824637
g53	10.5496423948541	10.8507594120423	11.1273343861441	8.82209151363289	9.79414029203758	9.86501090297071
g54	8.76482517562651	8.51493780437501	8.52870727778364	8.37236052576688	7.782049345121	8.86630326873739
g55	11.2595986870158	11.5135894446105	11.8866553687058	11.6410112850347	11.9426700381126	11.6056034877323
g56	6.5675528770852	7.05386667436199	7.23041833387956	6.58418221313015	6.39462523543527	6.60666082694224
g57	10.5714120270884	10.9969993641977	11.1055052665719	10.2975357600857	10.7708494002542	10.4456380842553
g58	11.2154359160586	9.9926501538831	10.4258462136936	11.0521517857176	11.0014680455442	11.3862376857573
g59	9.43406430701152	9.32031198385942	9.02321994359405	10.3365546789271	10.0242877625635	10.0537573298228
g60	5.07628157352084	4.69885634854902	5.0876463799485	4.85845052254069	4.35296562592011	4.99647040828469
g61	7.38230611964294	7.65201704774574	7.75078208091808	7.01571524125923	7.26312466819601	7.32774045673496
g62	7.63853169794484	7.54260082451568	8.10561719463031	8.35847322291877	7.44942023811586	8.54308014710524
g63	8.83493718707768	8.79226106129216	8.92653256769675	8.27817998944319	8.89632202988855	8.31306530082137
g64	9.91366201185583	9.83399553447115	9.97580077603772	11.7395200508428	11.4489413913521	11.8411867739705
g65	14.6779634803548	13.207090174614	13.7836309013612	14.5534116517826	15.519514054067	14.1943693148669
g66	7.11622028874195	7.1727910433995	6.73482229828952	8.01306932343122	7.2165934438467	7.01678026011289
g67	8.19139631762442	9.17073051263861	8.51370739848789	7.24571599554297	6.60131748485503	7.30109216912039
g68	7.91900976601759	8.70456286061774	8.07563952159454	7.30951141702193	6.60609753087344	7.22968844798054
g69	10.2656214104658	10.5783638025769	10.7297493385872	11.1044284613541	11.3826636604317	11.2489087068682
g70	6.21252838535045	7.66512228096703	6.59720933656947	7.01783874042886	7.2581416749392	7.28549123914765
g71	9.63943707994011	9.65749628149404	9.73449720923161	10.3616233651226	10.1299061079806	9.8169432214886
