"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g17",810.688326516784,1.13645756025085,0.388074151503834,2.928454667354,0.00340651503460586,0.0121357098107834
"g21",1344.29742415261,1.08102965156314,0.306409653559287,3.52805350290299,0.00041862753301992,0.00243487442674852
"g25",4010.40240294811,1.07604373283191,0.273192144175695,3.93877992384688,8.18970069718704e-05,0.000686489617264208
"g26",16150.8501017002,1.12902567539206,0.393675919623431,2.8679063643822,0.00413197800963466,0.0145384411450108
"g30",636.435279156343,2.04059434613123,0.721306467906113,2.82902543776558,0.0046689987695772,0.015942926402597
"g59",911.971112138907,1.24624836041466,0.328626947167204,3.79228901086001,0.000149265054531071,0.00114974433895555
"g64",2429.68462916879,2.52476614418151,0.286810619827523,8.80290327359499,1.33321460648338e-18,3.79966162847764e-16
"g69",2017.6721402118,1.00234082954318,0.324188930652956,3.09184162310646,0.00198918947800807,0.00798477466524367
"g79",8724.07041265565,1.1119264376858,0.393326995880651,2.82697716996571,0.00469896778181807,0.015942926402597
"g97",17926.796265402,3.05732552784381,0.840038117758303,3.63950809280237,0.000273159353233474,0.0019462603917885
"g98",48.9180523306648,3.49826041564952,0.857443748555499,4.07987162020004,4.50605796480127e-05,0.000458652328560129
"g102",2676.74598921353,2.44328287496151,0.359965461444162,6.78754807519363,1.14055259365945e-11,4.06321861491178e-10
"g110",13168.7798468474,1.0068402986133,0.402339057812836,2.50246720784855,0.0123331050121508,0.036236442561474
"g117",1685.50710556094,1.81141164312668,0.503654139523436,3.59653877726621,0.000322479529718857,0.0021373643248808
"g123",11110.6984106182,3.25271055356909,0.48218132465358,6.74582441762127,1.52160538996783e-11,4.81841706823147e-10
"g124",513.656488679047,1.24225066194043,0.421803457253477,2.94509359887469,0.0032285697798256,0.0116473719905101
"g128",692.805467300343,2.42815687264799,0.545771957619559,4.44903194227612,8.62581885102967e-06,0.000111743562388339
"g139",1418.10997653571,1.11680796182302,0.373116579628018,2.99318771343915,0.00276079886624911,0.0102185412581948
"g145",2036.23401145195,1.27509670303048,0.335071319352152,3.80544865939534,0.000141547374185083,0.00112058337896524
"g183",10665.4217109696,1.32034894157338,0.384273005167018,3.43596589877426,0.000590445287026781,0.00323609436158909
"g187",8.12953089655506,3.06592745237342,1.19994151903518,2.55506406248747,0.0106168256126588,0.0321893116979548
"g189",103.823175385044,4.61190186166525,0.652921430486356,7.06348673259182,1.62375711283702e-12,9.25541554317099e-11
"g193",857.50362445387,1.45145527358843,0.450683740539367,3.22056276503645,0.00127939174163181,0.0056096407133087
"g194",129.806043786582,1.17246274456251,0.418815844130388,2.79947084379522,0.00511864389002147,0.0167679713638634
"g207",1875.90136650962,1.07824871510129,0.295884722075515,3.64415136928259,0.00026827550587406,0.0019462603917885
"g213",511.292591746768,1.75766569900712,0.532373510710343,3.3015649044256,0.000961470872378841,0.00456698664379949
"g217",7197.21407936545,1.3832570528019,0.555226159147469,2.49133984415619,0.0127262327510998,0.0366361245864995
"g219",4321.4442113085,1.36724188009804,0.31495579858731,4.34105955893052,1.41797277743469e-05,0.000168384267320369
"g231",1800.07478511016,1.1778353877699,0.344949223723246,3.41451815735894,0.000638949346097136,0.00343585969127705
"g232",1244.8535979767,1.14728919065831,0.321075870736885,3.57326506045198,0.000352557565363444,0.00228361150292231
"g236",788.750262562039,2.28875855409048,0.303159389198844,7.54968717986587,4.36304917559694e-14,4.1448967168171e-12
"g254",4371.40789986288,1.51844991299451,0.426173358307351,3.56298647814447,0.000366659572794017,0.00228907556804725
"g259",56.659474449712,2.29072972321048,0.8869634160137,2.58266539730101,0.00980403560883213,0.0307049466870017
"g262",4190.7651134038,1.50108239657738,0.370963515727943,4.04644212418519,5.20019741430223e-05,0.000511053883819357
"g263",61.382996752885,5.49857678533401,0.751375844884046,7.31801111623779,2.51673020833481e-13,1.79317027343855e-11
"g268",685.000007700507,1.27758722064624,0.411777832117701,3.10261291647449,0.0019182035501233,0.00780982873978772
"g286",6114.63116849925,1.08913516087643,0.429533014341827,2.53562619056258,0.0112246479268562,0.0336739437805687
