# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "braker_output/braker.gtf" "-o" "gene_counts.txt" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "Control_1.bam" "Control_2.bam" "Control_3.bam" "Heat_treated_1.bam" "Heat_treated_2.bam" "Heat_treated_3.bam" 
Geneid	Chr	Start	End	Strand	Length	Control_1.bam	Control_2.bam	Control_3.bam	Heat_treated_1.bam	Heat_treated_2.bam	Heat_treated_3.bam
g1	contig_11_pilon;contig_11_pilon;contig_11_pilon	60075;60481;60926	60271;60628;61168	+;+;+	588	5094	400	878	1455	853	1521
g2	contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon	77561;78040;78263;78490;78792;79013;79353;80608	77695;78150;78343;78645;78834;79108;79466;80930	-;-;-;-;-;-;-;-	1059	350	558	531	487	308	653
g3	contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon	98561;99354;99645;99924	99040;99476;99761;99980	+;+;+;+	777	13797	8396	10575	8921	11037	7869
g4	contig_11_pilon;contig_11_pilon	118081;118656	118271;118857	-;-	393	44	92	118	47	19	148
g5	contig_11_pilon;contig_11_pilon	326402;327606	327462;327927	+;+	1383	1931	1120	1104	906	850	1859
g6	contig_11_pilon;contig_11_pilon	377472;378131	377909;378508	+;+	816	382	594	160	95	43	90
g7	contig_11_pilon;contig_11_pilon	417879;418478	418256;418915	-;-	816	396	178	270	345	257	302
g8	contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon	440215;440531;440867;441379;441560;442024;442181;442522;442883;443130;443379;443621;443913;444314;444583;444852;445307;445649;446091;446996;447411;448027;448450;448995;449363;449815;450698	440424;440743;441176;441434;441652;442065;442399;442650;442948;443228;443443;443679;444083;444449;444694;445153;445511;445879;446621;447281;447880;448266;448834;449187;449705;450052;450972	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5679	2376	5508	6327	2500	942	4240
g9	contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon	458619;459121;459419;459867;460047;460358	458744;459168;459481;459920;460166;460483	+;+;+;+;+;+	537	75	29	17	56	67	43
g10	contig_11_pilon;contig_11_pilon;contig_11_pilon;contig_11_pilon	492990;493270;493839;494491	493064;493725;494293;494935	-;-;-;-	1431	649	173	216	85	62	195
